n,seconds
1215,0.0358543570
1216,0.0360077970
1217,0.0351745870
1218,0.0385432130
1219,0.0355763150
1220,0.0357475700
1221,0.0354260020
1222,0.0352749230
1223,0.0364321980
1224,0.0353516250
1225,0.0350949420
1226,0.0353492730
1227,0.0354456990
1228,0.0351320170
1229,0.0368532010
1230,0.0366241420
1231,0.0360438020
1232,0.0363888830
1233,0.0357095920
1234,0.0362314200
1235,0.0357885660
1236,0.0360405480
1237,0.0370469590
1238,0.0359347790
1239,0.0362862660
1240,0.0366176890
1241,0.0363454560
1242,0.0365555460
1243,0.0362962470
1244,0.0373985420
1245,0.0368987140
1246,0.0409393950
1247,0.0387131910
1248,0.0395942470
1249,0.0382921270
1250,0.0386247340
1251,0.0372066970
1252,0.0368862450
1253,0.0369961690
1254,0.0371986680
1255,0.0401822290
1256,0.0385181570
1257,0.0382527170
1258,0.0387516850
1259,0.0379325920
1260,0.0378803460
1261,0.0378978370
1262,0.0370267680
1263,0.0384838600
1264,0.0388211110
1265,0.0373468960
1266,0.0398285120
1267,0.0393640530
1268,0.0384012920
1269,0.0391312180
1270,0.0385774500
1271,0.0387508330
1272,0.0403510970
1273,0.0392969510
1274,0.0384423920
1275,0.0387079100
1276,0.0396192580
1277,0.0416503700
1278,0.0421030040
1279,0.0384672370
1280,0.0386568110
1281,0.0411003170
1282,0.0395983460
1283,0.0395345240
1284,0.0390238860
1285,0.0389802590
1286,0.0392339160
1287,0.0387732760
1288,0.0405076650
1289,0.0397758230
1290,0.0390674340
1291,0.0402559210
1292,0.0397070600
1293,0.0394981550
1294,0.0395870310
1295,0.0400661000
1296,0.0397672280
1297,0.0393308550
1298,0.0430619650
1299,0.0403771210
1300,0.0403442990
1301,0.0616204790
1302,0.0397120150
1303,0.0405998680
1304,0.0399067580
1305,0.0414406810
1306,0.0414460070
1307,0.0405217350
1308,0.0406406580
1309,0.0416655300
1310,0.0405358620
1311,0.0400945370
1312,0.0409824560
1313,0.0409104220
1314,0.0403728590
1315,0.0420462160
1316,0.0413717080
1317,0.0416771180
1318,0.0415342340
1319,0.0409769880
1320,0.0410554720
1321,0.0412291250
1322,0.0439374400
1323,0.0414106710
1324,0.0421677970
1325,0.0411706960
1326,0.0412914630
1327,0.0415597480
1328,0.0416858470
1329,0.0431391000
1330,0.0429622620
1331,0.0425194240
1332,0.0413570640
1333,0.0424128700
1334,0.0419831670
1335,0.0421759420
1336,0.0425535450
1337,0.0419976680
1338,0.0451102250
1339,0.0433062850
1340,0.0450889180
1341,0.0434258600
1342,0.0437146440
1343,0.0442136140
1344,0.0430019440
1345,0.0443896150
1346,0.0455822390
1347,0.0442477250
1348,0.0432602910
1349,0.0429088750
1350,0.0436023600
1351,0.0432881390
1352,0.0446518240
1353,0.0440550830
1354,0.0436654460
1355,0.0429173810
1356,0.0433093530
1357,0.0438249770
1358,0.0433901720
1359,0.0443221390
1360,0.0434435650
1361,0.0449089940
1362,0.0443914130
1363,0.0435983320
1364,0.0444247300
1365,0.0438975590
1366,0.0438963100
1367,0.0451033690
1368,0.0464939650
1369,0.0468342070
1370,0.0453970280
1371,0.0446115750
1372,0.0445356090
1373,0.0449710250
1374,0.0474770660
1375,0.0454304670
1376,0.0464333440
1377,0.0451125600
1378,0.0452407370
1379,0.0451555010
1380,0.0448576610
1381,0.0462234170
1382,0.0447197480
1383,0.0484327870
1384,0.0477207420
1385,0.0474177640
1386,0.0465973520
1387,0.0464857380
1388,0.0454081690
1389,0.0455862980
1390,0.0462155320
1391,0.0503434020
1392,0.0472280940
1393,0.0460410570
1394,0.0458374690
1395,0.0474513470
1396,0.0455198480
1397,0.0461428400
1398,0.0465278490
1399,0.0455816610
1400,0.0458401550
1401,0.0458427750
1402,0.0476387030
1403,0.0457822400
1404,0.0468542040
1405,0.0466240540
1406,0.0460501380
1407,0.0470422770
1408,0.0465553830
1409,0.0467076940
1410,0.0465049390
1411,0.0467348940
1412,0.0486578310
1413,0.0509362410
1414,0.0471969250
1415,0.0471985360
1416,0.0468036820
1417,0.0484286770
1418,0.0482388360
1419,0.0480566670
1420,0.0476058700
1421,0.0476620950
1422,0.0478833160
1423,0.0484658780
1424,0.0475736670
1425,0.0498319240
1426,0.0489211480
1427,0.0475954050
1428,0.0483801930
1429,0.0480433210
1430,0.0479227340
1431,0.0482045090
1432,0.0497334260
1433,0.0514117170
1434,0.0522150550
1435,0.0483611850
1436,0.0494091480
1437,0.0504111960
1438,0.0498632910
1439,0.0494246680
1440,0.0490139370
1441,0.0489380300
1442,0.0486851610
1443,0.0506062270
1444,0.0487349950
1445,0.0514052710
1446,0.0504135940
1447,0.0535413900
1448,0.0540587440
1449,0.0542317880
1450,0.0543369020
1451,0.0528177720
1452,0.0565742430
1453,0.0525921970
1454,0.0506752930
1455,0.0501659590
1456,0.0518845090
1457,0.0506425840
1458,0.0501399390
1459,0.0501315310
1460,0.0515923020
1461,0.0497453620
1462,0.0510738780
1463,0.0500189500
1464,0.0550836830
1465,0.0521930110
1466,0.0518955790
1467,0.0523229400
1468,0.0515446020
1469,0.0513068430
1470,0.0512515920
1471,0.0506067000
1472,0.0520679550
1473,0.0531996090
1474,0.0524196610
1475,0.0536823420
1476,0.0517360790
1477,0.0524034260
1478,0.0522824380
1479,0.0520274520
1480,0.0517630740
1481,0.0519627090
1482,0.0521042060
1483,0.0543375030
1484,0.0531610670
1485,0.0534396260
1486,0.0529951540
1487,0.0525447480
1488,0.0520977530
1489,0.0523686090
1490,0.0521950760
1491,0.0534018620
1492,0.0548233500
1493,0.0557113850
1494,0.0542114650
1495,0.0536516150
1496,0.0533465370
